Ключевые слова,Название проекта,Спринт,Сферы деятельности компаний,Направление деятельности,Навыки и инструменты,Задачи проекта,Описание проекта,Ключевые слова проекта
"data analyst, аналитик данных, аналитик, analyst",1. Исследование данных сервиса “Яндекс.Музыка” — сравнение пользователей двух городов,Базовый Python,"Интернет-сервисы, Стриминговый сервис",Data Analyst,"Pandas, Python",На реальных данных Яндекс.Музыки c помощью библиотеки Pandas и её возможностей проверить данные и сравнить поведение и предпочтения пользователей двух столиц — Москвы и Санкт-Петербурга.,"Сравнение Москвы и Петербурга окружено мифами:
- Москва — мегаполис, подчинённый жёсткому ритму рабочей недели;
- Петербург — город своеобразной культуры, непохожий на Москву.
Некоторые мифы отражают действительность. Другие — пустые стереотипы. Бизнес должен отличать первые от вторых, чтобы принимать рациональные решения. На реальных данных Яндекс.Музыки вы проверите данные и сравните поведение пользователей двух столиц.","обработка данных, дубликаты, пропуски, логическая индексация, группировка, сортировка"
"data analyst, аналитик данных, аналитик, финансовый аналитик, analyst",2. Исследование надёжности заёмщиков — анализ банковских данных,Предобработка данных,"Банковская сфера, Кредитование","Data Analyst, Финансовый аналитик","Pandas, Python, предобработка данных",На основе статистики о платёжеспособности клиентов исследовать влияет ли семейное положение и количество детей клиента на факт возврата кредита в срок,"На основе данных кредитного отдела банка исследовал влияние семейного положения и
количества детей на факт погашения кредита в срок. Была получена информация о
данных. Определены и обработаны пропуски. Заменены типы данных на соответствующие
хранящимся данным. Удалены дубликаты. Категоризованы данные. Один датафрейм декомпозирован на три.","обработка данных, дубликаты, пропуски, категоризация, декомпозиция"
"маркетинговый аналитик, фрод аналитик, fraud analyst, data analyst, аналитик данных, аналитик, analyst,",3. Продажа квартир в Санкт-Петербурге — анализ рынка недвижимости,Исследовательский анализ данных,"Интернет-сервисы, Площадки объявлений","Data Analyst, Fraud-аналитик, Маркетинг-аналитик","Matplotlib, Pandas, Python, визуализация данных, исследовательский анализ данных, предобработка данных","Используя данные сервиса Яндекс.Недвижимость, определить рыночную стоимость объектов недвижимости и типичные параметры квартир","На основе данных сервиса Яндекс.Недвижимость определена рыночная стоимость
объектов недвижимости разного типа, типичные параметры квартир, в зависимости от
удаленности от центра. Проведена предобработка данных. Добавлены новые данные.
Построены гистограммы, боксплоты, диаграммы рассеивания.","обработка данных, histogram, boxplot, scattermatrix,
категоризация, scatterplot,  фрод-мониторинг"
"аналитик, analyst, аналитик данных, data analyst",4. Определение выгодного тарифа для телеком компании,Статистический анализ данных,Телеком,"Data Analyst, Маркетинг-аналитик, Продуктовый аналитик","Matplotlib, NumPy, Pandas, Python, SciPy, описательная статистика, проверка статистических гипотез",На основе данных клиентов оператора сотовой связи проанализировать поведение клиентов и поиск оптимального тарифа,"Проведен предварительный анализ использования тарифов на выборке клиентов,
проанализировано поведение клиентов при использовании услуг оператора и
рекомендованы оптимальные наборы услуг для пользователей. Проведена предобработка
данных, их анализ. Проверены гипотезы о различии выручки абонентов разных тарифов и
различии выручки абонентов из Москвы и других регионов.","обработка данных, histogram, boxplot, статистический тест,
критерий Стьюдента"
,5. Исследование рынка российского кинопроката,Сборный 1,"Оффлайн, Стриминговый сервис","Data Analyst, Продуктовый аналитик","Matplotlib, Pandas, Python",Выполнить исследование рынка российского кинопроката,"Изучить рынок российского кинопроката и выявить текущие тренды. Сделать аналих насколько  фильмы, которые получили государственную поддержку, интересны зрителю. ",
,6. Классификаиция клиентов телеком компании,Введение в МО,Телеком,"Классификация, Машинное обучение","Matplotlib, Pandas, Python, Scikit-learn",На основе данных предложить клиенту тариф.,"Оператор мобильной связи выяснил: многие клиенты пользуются архивными тарифами. Они хотят построить систему, способную проанализировать поведение клиентов и предложить пользователям один из новых тариф.","классификация, подбор гиперпараметров, выбор модели МО"
,7. Прогнозирование оттока клиента Банка,Обучение с учителем,"Банковская сфера, Бизнес, Инвестиции, Кредитование","Классификация, Машинное обучение","Matplotlib, Pandas, Scikit-learn","На основе данных из банка определить клиент, который может уйти","Из банка стали уходить клиенты. Каждый месяц. Немного, но заметно. Банковские маркетологи посчитали: сохранять текущих клиентов дешевле, чем привлекать новых.
Нужно спрогнозировать, уйдёт клиент из банка в ближайшее время или нет. Предоставлены исторические данные о поведении клиентов и расторжении договоров с банком.","классификация, подбор гиперпараметров, выбор модели МО"
,8. Определение наиболее выгодного региона нефтедобычи,Машинное обучение в бизнесе,Добывающие компании,"Машинное обучение, Разработка бизнес-модели, Регррессия, Финансовый аналитик","Pandas, Scikit-learn, бутстреп",На основе данных геологи разведки выбрать район добычи нефти,"Вам предоставлены пробы нефти в трёх регионах. Характеристики для каждой скважины в регионе уже известны. Постройте модель для определения региона, где добыча принесёт наибольшую прибыль. ","регрессия, разработка бизнес-модели, бутстреп"
,9. Система прогнозирования продажи отелей,Сборный 2,"Интернет-сервисы, Туризм","Машинное обучение, Разработка бизнес-модели","Matplotlib, NumPy, Pandas, Python, Scikit-learn, исследовательский анализ данных",Спрогнозировать кто из клиентов откажется от брони,Строится модель прогнозирования отказа от брони клиента. В качестве метрики предлагается использовать величину выручки которая получится после внедрения модели машинного обучения.,"Классификация, бизнес модель"
,10. Прогнозирование стоимости жилья в жилом массиве.,Системы обработки больших данных,"Интернет-сервисы, Оффлайн, Площадки объявлений","Big-Data, Машинное обучение, Регррессия","Pandas, Python, Spark",Определить медианную стоимость квартиры,"Сервис по продаже квартир закала разработку модели по прогнозированию стоимости квартиры ","большие данные, Spark"
,11. Защита данных клиентов страховой компании,Линейная алгебра,"Банковская сфера, Инвестиции, Интернет-сервисы, Телеком",Машинное обучение,"NumPy, Python, Scikit-learn",Разработка модели анонимизации персональных данных,"Необходимо защитить данные клиентов страховой компании «Хоть потоп». Разработайте такой метод преобразования данных, чтобы по ним было сложно восстановить персональную информацию. Обоснуйте корректность его работы. Нужно защитить данные, чтобы при преобразовании качество моделей машинного обучения не ухудшилось. Подбирать наилучшую модель не требуется.","линейная алгебра, регрессия"
,12. Построение модели определения стоимости автомобиля,Численные методы,"Бизнес, Интернет-магазины, Интернет-сервисы",Машинное обучение,"Pandas, Python, lightgbm",Разработка системы рекомендации стоимости автомобиля на основе его описания,Сервис по продаже автомобилей с пробегом  разрабатывает приложение для привлечения новых клиентов. В нём можно быстро узнать рыночную стоимость своего автомобиля. На основе исторические данные необходимо построить модель для определения стоимости автомобиля.,"градиентный бустинг, регрессия"
,13. Прогнозирование темпаратуры звезды,Методы и алгоритмы машинного обучения,Science,"Машинное обучение, Регррессия","Pandas, Python, Pytorch","Определить температуру на поверхности звезды ",На основе косвенных данных построить модель оценки температуры на поверхности звезды,Нейронные сети
,14. Разработка системы предупреждения аварий на каршеринге,Сборный 3,"Бизнес, Интернет-сервисы, Оффлайн","SQL, Машинное обучение","Pandas, PostgreSQL, SQL, SQLAlchemy, Scikit-learn",Построить систему предупреждения об аварии клиентам каршеринга,На основе исторических данных из базы данных выявить причины возникновения аварий и создать алерт о безопасном вождении.,"Базы данных, синтез признаков"
,15. Прогнозирование количества заказов такси на следующий час,Временные ряды,"Бизнес, Интернет-сервисы, Стартапы",Машинное обучение,"Pandas, Python, Scikit-learn, statsmodels",Разработка системы предсказания объема заказа.,"Компания такси собрала исторические данные о заказах такси в аэропортах. Чтобы привлекать больше водителей в период пиковой нагрузки, нужно спрогнозировать количество заказов такси на следующий час. Строится модель для такого предсказания.","временные ряды, регрессия, предсказания"
,16. Обучение модели классификации комментариев,МО для текстов,"Интернет-сервисы, Стартапы","NLP, Машинное обучение","BERT, Pandas, Python, nltk, tf-idf",Определение токсичности комментарии.,"Интернет-магазин запускает новый сервис. Теперь пользователи могут редактировать и дополнять описания товаров, как в вики-сообществах. То есть клиенты предлагают свои правки и комментируют изменения других. Требуется инструмент, который будет искать токсичные комментарии и отправлять их на модерацию.","обработка естественного языка, NLP"
,17. Обработка фотографий покупателя,Компьютерное зрение,"Бизнес, Оффлайн","CV, Машинное обучение","Keras, Python",Определение возраста по фотографии,"Сетевой супермаркет внедряет систему компьютерного зрения для обработки фотографий покупателей. Фотофиксация в прикассовой зоне поможет определять возраст клиентов, чтобы анализировать покупки и предлагать товары, которые могут заинтересовать покупателей этой возрастной группы и контролировать добросовестность кассиров при продаже алкоголя. Строится модель, которая по фотографии определит приблизительный возраст человека. В вашем распоряжении набор фотографий людей с указанием возраста.","обработка изображени, нейронные сети"
,18. Поиск по изображению,Сборный 4,"Интернет-сервисы, Стартапы","CV, NLP, Машинное обучение","BERT, Keras, Pytorch, Scikit-learn",Разработать простой поиск картинок по запросу,"Разработать модель соединяющую текстовые данные и изображения. ",